sample_id,bpm,temperature,label_gt,label,label_rule,quality_flag
1,60,36.3,0,0,0,1
2,62,36.0,0,0,0,1
3,62,36.2,0,0,0,1
4,63,35.8,0,0,1,1
5,63,36.2,0,0,0,1
6,65,36.4,0,0,0,1
7,67,36.4,0,0,0,1
8,68,36.5,0,0,0,1
9,68,36.6,0,0,0,1
10,70,36.5,0,0,0,1
11,70,36.9,0,0,0,1
12,71,36.6,0,0,0,1
13,72,36.5,0,0,0,1
14,72,36.7,0,0,0,1
15,74,36.6,0,0,0,1
16,74,36.7,0,0,0,1
17,75,36.7,0,0,0,1
18,75,36.8,0,0,0,1
19,76,36.7,0,0,0,1
20,77,36.7,0,0,0,1
21,78,36.6,0,0,0,1
22,78,36.9,0,0,0,1
23,78,37.0,0,0,0,1
24,79,36.5,0,0,0,1
25,79,36.7,0,0,0,1
26,79,37.1,0,0,0,1
27,80,36.8,0,0,0,1
28,80,37.0,0,0,0,1
29,82,36.6,0,0,0,1
30,82,36.9,0,0,0,1
31,83,36.3,0,0,0,1
32,83,36.8,0,0,0,1
33,84,36.5,0,0,0,1
34,84,36.9,0,0,0,1
35,84,37.1,0,0,0,1
36,85,37.0,0,0,0,1
37,85,37.2,0,0,0,1
38,87,36.9,0,0,0,1
39,88,37.1,0,0,0,1
40,89,36.6,0,0,0,1
41,89,36.8,0,0,0,1
42,89,37.0,0,0,0,1
43,90,37.2,0,0,0,1
44,91,37.1,0,0,0,1
45,92,37.1,0,0,0,1
46,94,37.1,0,0,0,1
47,95,36.3,0,0,0,1
48,98,36.9,0,0,0,1
49,100,37.4,0,0,0,1
50,105,37.2,0,0,0,1
51,48,35.2,1,1,1,1
52,50,35.5,1,1,1,1
53,55,35.8,1,1,1,1
54,57,35.2,1,1,1,1
55,57,35.4,1,1,1,1
56,57,36.0,1,1,1,1
57,58,35.9,1,1,1,1
58,61,35.6,1,1,1,1
59,62,37.6,1,1,1,1
60,68,35.5,1,1,1,1
61,75,35.2,1,1,1,1
62,90,37.5,1,1,1,1
63,97,37.6,1,1,1,1
64,99,37.7,1,1,1,1
65,99,39.1,1,1,1,1
66,100,37.7,1,1,1,1
67,100,38.8,1,1,1,1
68,101,37.9,1,1,1,1
69,102,38.0,1,1,1,1
70,105,37.8,1,1,1,1
71,105,38.0,1,1,1,1
72,105,39.0,1,1,1,1
73,107,37.3,1,1,1,1
74,107,37.6,1,1,1,1
75,108,38.3,1,1,1,1
76,108,38.9,1,1,1,1
77,109,38.9,1,1,1,1
78,110,37.7,1,1,1,1
79,110,38.2,1,1,1,1
80,110,38.5,1,1,1,1
81,112,38.5,1,1,1,1
82,112,38.7,1,1,1,1
83,115,37.5,1,1,1,1
84,115,38.1,1,1,1,1
85,115,38.5,1,1,1,1
86,117,38.9,1,1,1,1
87,118,39.2,1,1,1,1
88,120,38.0,1,1,1,1
89,120,39.0,1,1,1,1
90,125,38.1,1,1,1,1
91,125,39.0,1,1,1,1
92,125,39.2,1,1,1,1
93,127,39.6,1,1,1,1
94,128,38.2,1,1,1,1
95,130,37.8,1,1,1,1
96,130,37.9,1,1,1,1
97,130,39.5,1,1,1,1
98,134,37.4,1,1,1,1
99,137,39.3,1,1,1,1
100,140,37.0,1,1,1,1
101,56,36.2,1,1,1,1
102,57,36.0,1,1,1,1
103,58,35.8,1,1,1,1
104,59,36.4,1,1,1,1
105,60,35.6,1,1,1,1
106,61,35.7,1,1,1,1
107,62,35.8,1,1,1,1
108,63,35.8,1,1,1,1
109,64,36.2,0,0,0,1
110,65,36.4,0,0,0,1
111,66,36.0,0,0,0,1
112,68,36.0,0,0,0,1
113,70,35.8,1,1,1,1
114,72,36.3,0,0,0,1
115,75,36.5,0,0,0,1
116,78,37.0,0,0,0,1
117,82,37.3,0,0,0,1
118,88,37.0,0,0,0,1
119,95,37.0,0,0,0,1
120,98,37.1,0,0,0,1
121,99,37.2,0,0,0,1
122,100,37.3,0,0,0,1
123,100,37.4,0,0,0,1
124,107,37.1,1,1,1,1
125,108,36.8,1,1,1,1
126,110,37.0,1,1,1,1
127,112,37.2,1,1,1,1
128,115,36.9,1,1,1,1
129,106,37.0,1,1,1,1
130,85,37.5,1,1,1,1
131,80,37.6,1,1,1,1
132,75,37.6,1,1,1,1
133,72,37.8,1,1,1,1
134,70,38.0,1,1,1,1
135,78,37.4,0,0,0,1
136,82,37.4,0,0,0,1
137,90,37.3,0,0,0,1
138,96,37.4,0,0,0,1
139,50,36.5,1,1,1,1
140,52,36.8,1,1,1,1
141,54,36.2,1,1,1,1
142,92,38.2,1,1,1,1
143,88,38.5,1,1,1,1
144,76,38.8,1,1,1,1
145,70,35.5,1,1,1,1
146,92,36.0,0,0,0,1
147,98,36.5,0,0,0,1
148,106,37.2,1,1,1,1
149,100,37.4,0,0,0,1
150,61,36.1,0,0,0,1
